,abstract_no,sentence
4082,449,MATERIALS AND METHODS: Thirty-one patients diagnosed with Secondary Sjgren's syndrome (SSS) participated in the study.
4083,449,"RESULTS: The results showed a large discrepancy between the measurements performed by volume and by weight (p < 0.001) and additionally when taking into account density calculation, especially in individuals with low salivary secretion rate."
4084,449,"CONCLUSION: It is suggested that weight measurement of saliva should be more routinely implemented, especially in patients with reduced salivary secretion."
4085,450,"Patients with Sjgren's syndrome frequently have pulmonary involvement, but the involvement of nodular pulmonary lesions, including pulmonary amyloidosis, is rare."
4086,450,"Most cases of pulmonary amyloidosis involve multiple nodules; solitary pulmonary nodular amyloidosis, as an associated condition of Sjgren's syndrome, is very rare.In our report, we present the case of an 80-year-old female with Sjgren's syndrome who was incidentally found to have a small solitary pulmonary nodule."
4087,450,The nodule showed high fluorodeoxyglucose uptake and contained areas of calcification.
4088,450,"Because the probability that the nodular lesion was malignant could not be excluded, the tumor was excised using a thoracoscopic procedure; the final diagnosis was pulmonary nodular amyloidosis."
4089,450,"Although most cases of pulmonary amyloidosis involve multiple nodules, amyloidosis should be considered in the differential diagnosis for a solitary pulmonary nodule in patients with Sjgren's syndrome."
4090,451,PURPOSE: To determine whether intravoxel incoherent motion (IVIM) magnetic resonance imaging (MRI) could detect parotid gland abnormalities in Sjgren's syndrome (SS) patients who were not identified by conventional MRI.
4091,451,MATERIALS AND METHODS: Ten consecutive patients with clinically proven SS who were not identified by conventional MRI were assessed by IVIM MRI with a 3.0T MRI scanner.
4092,451,"Quantitative parameters (tissue diffusivity, D; pseudodiffusion coefficient, D*; perfusion fraction, f) derived from IVIM MRI were compared between the SS group and healthy control group (n=15)."
4093,451,A receiver operating characteristic (ROC) curve was used to evaluate the diagnostic value of each significant parameter.
4094,451,"RESULTS: Excellent inter- and intrareader agreements were obtained during the measurement of D, f, and D* values (interreader, 0.980, 0.942, and 0.883; intrareader, 0.991, 0.952, and 0.896, respectively)."
4095,451,"All three parameters of the SS group were significantly higher than those of the healthy group (D, 1.0490.056  10(-3) mm(2) /s vs. 0.9760.116  10(-3) mm(2) /s, P=0.012; D*, 20.4101.786  10(-3) mm(2) /s vs. 18.7642.433  10(-3) mm(2) /s, P=0.013; f, 0.2070.003 vs. 0.1820.002, P=0.004)."
4096,451,"ROC analysis showed that the f value had the best diagnostic performance (AUC, 0.712; Sensitivity, 0.80; Specificity, 0.57; Cutoff value, 0.185) in detecting the parotid gland abnormalities in early SS patients."
4097,451,CONCLUSION: IVIM MRI detected parotid gland abnormalities in early-stage SS patients.
4098,451,J. Magn.
4099,451,Reson.
4100,451,Imaging 2016;43:1455-1461.
4101,452,There is a crucial need for reliable diagnostic criteria for SS.
4102,452,"Our objective was to evaluate the frequency of xerosis in patients with primary Sjgren's syndrome (SS), and compare histopathology of cutaneous sweat glands and labial salivary glands (LSGs), with respect to their contribution to the diagnosis."
4103,452,Twenty-two patients with primary SS and 22 matched normal volunteers were invited to rate their skin dryness on a visual analog scale.
4104,452,"The skin was dryer (58.3  10.1 versus 38.9  7.6, P < 0.01), and xerosis more frequent (9 of 22 versus 2 of 22, P < 0.02) in the patients than in the controls."
4105,452,The axilla skin was chosen for a 6-mm punch biopsy.
4106,452,Lymphocytic infiltration was seen in the skin of 8 of the 12 patients tested.
4107,452,Two of them had normal LSGs.
4108,452,"Most interestingly, B cell infiltrates were identified in patients' skin infiltrates, so that their presence might be a clue to the diagnosis of primary SS."
4109,452,These cell aggregates associated memory CD10-/CD20+/CD27+/IgD- B lymphocytes and immature CD20+/CD24 + lymphocytes.
4110,452,These latter findings strongly suggest that skin biopsies warrant inclusion into the routine clinical care of patients suspected of suffering from primary SS.
4111,453,Sjgren's syndrome (SjS) is a systemic autoimmune disease that mainly affects the exocrine glands and usually presents as persistent dryness of the mouth and eyes.
4112,453,Lung disease in SjS has been reported to occur early following clinical presentation of the disease.
4113,453,"In this study, technetium-99m diethylene triamine penta-acetic acid (Tc-99m DTPA) aerosol inhalation scintigraphy was used to assess the pulmonary membrane permeability in patients with primary SjS."
4114,453,A total of 18 patients with primary SjS and 13 healthy controls were investigated.
4115,453,"Clinical evaluation, chest X-ray examination, pulmonary function tests, Tc-99m DTPA aerosol scintigraphy were performed in all the cases."
4116,453,"The presence of respiratory symptoms (dyspnea and cough), duration of sicca symptoms were recorded."
4117,453,The clearance half time of Tc-99m DTPA radioaerosols in patients with SjS (20.49 +/- 2.56 min) was faster when compared to normal controls (42.32 +/- 13.28 min) (P = 0.000) which means that there is a significant increase in lung permeability in patients with SjS compared to the controls.
4118,453,There is also a significant difference between PI of patients with SjS (0.34 +/- 0.09) and that of controls (0.42 +/- 0.07) (P = 0.012).
4119,453,"According to the results of our preliminary study, one can detect pulmonary involvement by Tc-99m DTPA aerosol inhalation scintigraphy in patients with primary SjS."
4120,454,"Sjgren's syndrome is an important differential diagnosis in patients with sensory neuronopathy because immunosuppressive therapy may prevent progressive degeneration of sensory fibres, ganglions and axons."
4121,454,Due to the challenges in the diagnostic process the diagnostic criteria have repeatedly changed over the past few years.
4122,454,"In patients with negative antibodies (SSA, SSB antibodies) biopsy of the salivary glands of the lip and the parotid gland can be useful to diagnose Sjgren's syndrome."
4123,454,We report on four patients in whom biopsy of the salivary gland was helpful in establishing the diagnosis of Sjgren's syndrome and consequently immunosuppressive therapy was initiated.
4124,454,One of these patients suffered from hypersalivation.
4125,454,This was probably due to denervation hypersensitivity.
4126,454,To our knowledge this has not been reported yet.
4127,455,"A 13-year-old Pacific Island girl presented complaining of fever, joint pain and dry mouth."
4128,455,She was using limes to relieve her dry mouth.
4129,455,"On examination, the most striking clinical finding was severe dental erosion and caries."
4130,455,Autoimmune serology confirmed a diagnosis of systemic lupus erythematosus (SLE) with possible Sjgren's syndrome.
4131,455,The case illustrates the devastating consequence of excessive consumption of acidic citrus juice in sicca syndrome.
4132,456,"A 71-year-old woman developed advanced thermal hypoalgesia, bathyesthesia, and significant sensory ataxia 1 year ago."
4133,456,She also had difficulty maintaining a sitting posture.
4134,456,Patchy and reduced thermal nociception corresponding to a dermatome was found in her four extremities and trunk.
4135,456,"On the basis of several tests, she was diagnosed with ataxic sensory neuronopathy due to dorsal root ganglionitis associated with Sjgren's syndrome."
4136,456,"Generally, dorsal root ganglionitis associated with Sjgren's syndrome is refractory."
4137,456,"After treatment with simple plasmapheresis, she was able to maintain a sitting posture."
4138,456,"Finally, her symptoms stabilized after the inclusion of oral D-penicillamine to her treatment regimen."
4139,456,"Although the clinical course was observed for about one year, we report this case because of its valuable finding, i.e., her symptoms improved after simple plasmapheresis and oral administration of D-penicillamine."
4140,457,Immunoglobulin light-chain (AL) amyloidosis is a form of systemic amyloidosis in which the fibrils are derived from monoclonal light chains.
4141,457,"We report a case of a 66-year-old woman presenting with nail changes, parchment-like hand changes, progressive alopecia and sicca syndrome."
4142,457,"Histopathological studies of biopsy specimens of the scalp, the nail, minor labial salivary glands and abdominal skin revealed deposits of AL -type amyloid."
4143,457,Urine protein electrophoresis exhibited a weak band of -type light chains.
